Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,284.019989,284.700012,281.839996,283.179993,264.214874,134816100
2018-01-25,284.160004,284.269989,282.399994,283.299988,264.326874,84587300
2018-01-26,284.250000,286.630005,283.959991,286.579987,267.387207,107743100
2018-01-29,285.929993,286.429993,284.500000,284.679993,265.614532,90118300
2018-01-30,282.600006,284.739990,281.220001,281.760010,262.890076,131796400
2018-01-31,282.730011,283.299988,280.679993,281.899994,263.020630,108364800
2018-02-01,281.070007,283.059998,280.679993,281.579987,262.722137,90102500
2018-02-02,280.079987,280.230011,275.410004,275.450012,257.002686,173174800
2018-02-05,273.450012,275.850006,263.309998,263.929993,246.254181,294681800
2018-02-06,259.940002,269.700012,258.700012,269.130005,251.105896,355026800
2018-02-07,268.500000,272.359985,267.579987,267.670013,249.743744,167376100
2018-02-08,268.010010,268.170013,257.589996,257.630005,240.376068,246449500
2018-02-09,260.799988,263.609985,252.919998,261.500000,243.986923,283565300
2018-02-12,263.829987,267.010010,261.660004,265.339996,247.569748,143736000
2018-02-13,263.970001,266.619995,263.309998,266.000000,248.185577,81223600
2018-02-14,264.309998,270.000000,264.299988,269.589996,251.535110,120735700
2018-02-15,271.570007,273.040009,268.769989,273.029999,254.744705,111200300
2018-02-16,272.320007,275.320007,272.269989,273.109985,254.819336,160420100
2018-02-20,272.029999,273.670013,270.500000,271.399994,253.223831,86369700
2018-02-21,271.899994,274.720001,269.940002,270.049988,251.964279,98883700
2018-02-22,271.100006,273.049988,269.640015,270.399994,252.290863,110511300
2018-02-23,271.790009,274.709991,271.250000,274.709991,256.312164,92766400
2018-02-26,275.929993,278.010010,275.260010,277.899994,259.288605,86491400
2018-02-27,278.109985,278.920013,274.359985,274.429993,256.050964,99099200
2018-02-28,275.679993,276.190002,271.290009,271.649994,253.457138,121907800
2018-03-01,271.410004,273.170013,266.000000,267.700012,249.771683,176855100
2018-03-02,265.799988,269.720001,264.820007,269.079987,251.059219,139083200
2018-03-05,267.730011,272.890015,267.609985,272.190002,253.960983,97307400
2018-03-06,273.299988,273.390015,271.179993,272.880005,254.604797,79213200
2018-03-07,270.420013,273.179993,270.200012,272.779999,254.511444,87063500
2018-03-08,273.549988,274.239990,272.420013,274.100006,255.743057,66901200
2018-03-09,275.700012,278.869995,275.339996,278.869995,260.193634,113625300
2018-03-12,279.200012,279.910004,278.079987,278.519989,259.867004,71924800
2018-03-13,279.839996,280.410004,276.029999,276.720001,258.187622,91968900
2018-03-14,277.809998,278.019989,274.670013,275.299988,256.862671,105895100
2018-03-15,275.880005,276.609985,274.429993,275.000000,256.582794,83433000
2018-03-16,274.500000,275.390015,274.140015,274.200012,256.860962,100343700
2018-03-19,273.350006,274.399994,268.619995,270.489990,253.385605,109208400
2018-03-20,270.940002,271.670013,270.179993,270.950012,253.816513,59757300
2018-03-21,270.899994,273.269989,270.190002,270.429993,253.329346,78709600
2018-03-22,267.910004,268.869995,263.359985,263.670013,246.996902,148785900
2018-03-23,264.170013,264.540009,257.829987,258.049988,241.732269,183534800
2018-03-26,262.130005,265.429993,259.410004,265.109985,248.345764,141956100
2018-03-27,266.170013,266.769989,258.839996,260.600006,244.121002,129941400
2018-03-28,260.750000,262.640015,258.579987,259.829987,243.399658,146452300
2018-03-29,261.119995,265.260010,259.839996,263.149994,246.509750,111601600
2018-04-02,262.549988,263.130005,254.669998,257.470001,241.188919,186286300
2018-04-03,258.869995,261.309998,256.839996,260.769989,244.280243,119956900
2018-04-04,256.750000,264.359985,256.600006,263.559998,246.893814,123715300
2018-04-05,265.549988,266.640015,264.320007,265.640015,248.842316,82652600
2018-04-06,263.420013,265.109985,258.000000,259.720001,243.296631,179521200
2018-04-09,261.369995,264.839996,259.940002,261.000000,244.495712,105442900
2018-04-10,264.269989,266.040009,262.980011,265.149994,248.383270,103529000
2018-04-11,263.470001,265.640015,263.390015,263.760010,247.081177,91140200
2018-04-12,265.260010,267.000000,265.059998,265.929993,249.113968,68890500
2018-04-13,267.410004,267.540009,264.010010,265.149994,248.383270,85079200
2018-04-16,267.000000,268.200012,266.070007,267.329987,250.425430,63405300
2018-04-17,269.329987,270.869995,268.750000,270.190002,253.104599,64682000
2018-04-18,270.690002,271.299988,269.869995,270.390015,253.291916,57303900
2018-04-19,269.649994,269.880005,267.720001,268.890015,251.886810,77655900
2018-04-20,268.809998,269.059998,265.609985,266.609985,249.750931,99953100
2018-04-23,267.260010,267.890015,265.350006,266.570007,249.713470,65558000
2018-04-24,267.730011,267.980011,261.279999,262.980011,246.350494,112885500
2018-04-25,262.910004,264.130005,260.850006,263.630005,246.959412,103840900
2018-04-26,264.790009,267.250000,264.290009,266.309998,249.469925,67731900
2018-04-27,267.000000,267.339996,265.500000,266.559998,249.704102,57053600
2018-04-30,267.260010,267.890015,264.429993,264.510010,247.783768,82182300
2018-05-01,263.869995,265.100006,262.109985,264.980011,248.223999,74203400
2018-05-02,264.760010,265.679993,262.760010,263.200012,246.556564,86368900
2018-05-03,262.260010,263.359985,259.049988,262.619995,246.013245,136311500
2018-05-04,261.519989,266.790009,261.149994,266.019989,249.198288,91222100
2018-05-07,266.890015,268.019989,266.109985,266.920013,250.041367,55304900
2018-05-08,266.500000,267.329987,265.149994,266.920013,250.041367,67499200
2018-05-09,267.679993,269.869995,267.089996,269.500000,252.458237,59666100
2018-05-10,270.339996,272.390015,270.220001,272.019989,254.818756,72063900
2018-05-11,272.160004,273.149994,271.579987,272.850006,255.596329,59871500
2018-05-14,273.339996,274.079987,272.359985,272.980011,255.718201,54790600
2018-05-15,271.589996,271.609985,270.029999,271.100006,253.957016,87036100
2018-05-16,271.140015,272.760010,271.109985,272.239990,255.024933,53942600
2018-05-17,271.940002,273.230011,271.130005,272.010010,254.809479,56536400
2018-05-18,271.619995,272.029999,270.929993,271.329987,254.172440,64368000
2018-05-21,273.010010,273.980011,272.570007,273.369995,256.083496,58025900
2018-05-22,273.959991,274.250000,272.239990,272.609985,255.371475,52966400
2018-05-23,271.170013,273.390015,270.989990,273.359985,256.074097,64694200
2018-05-24,272.910004,273.220001,270.779999,272.799988,255.549454,76043800
2018-05-25,272.149994,272.859985,271.579987,272.149994,254.940659,56374800
2018-05-29,270.309998,271.170013,267.760010,269.019989,252.008560,115908600
2018-05-30,270.500000,273.109985,270.420013,272.609985,255.371475,69678400
2018-05-31,272.149994,272.489990,270.260010,270.940002,253.807114,93519900
2018-06-01,272.410004,273.940002,272.329987,273.600006,256.298950,71258400
2018-06-04,274.529999,275.190002,274.260010,274.899994,257.516785,45385200
2018-06-05,275.049988,275.529999,274.179993,275.100006,257.704071,51135000
2018-06-06,275.790009,277.519989,275.089996,277.399994,259.858612,62732200
2018-06-07,277.950012,278.279999,276.339996,277.369995,259.830566,72969400
2018-06-08,276.850006,278.250000,276.660004,278.190002,260.598694,72139700
2018-06-11,278.440002,279.369995,278.309998,278.559998,260.945313,58892500
2018-06-12,279.029999,279.329987,278.190002,278.920013,261.282501,72329000
2018-06-13,279.190002,279.480011,277.799988,278.029999,260.448822,79070600
2018-06-14,279.010010,279.329987,278.059998,278.730011,261.104584,77097600
2018-06-15,276.600006,277.510010,275.350006,277.130005,260.771454,120041600
2018-06-18,275.489990,276.700012,274.950012,276.559998,260.235107,52917600
2018-06-19,274.000000,275.750000,273.529999,275.500000,259.237671,97531500
2018-06-20,276.269989,276.720001,275.589996,275.970001,259.679993,53785500
2018-06-21,275.959991,275.980011,273.679993,274.239990,258.052063,71061400
2018-06-22,275.660004,275.790009,274.489990,274.739990,258.522461,54898500
2018-06-25,273.440002,273.619995,269.100006,271.000000,255.003250,137854200
2018-06-26,271.640015,272.559998,270.790009,271.600006,255.567871,68547400
2018-06-27,272.260010,273.869995,269.179993,269.350006,253.450699,105110700
2018-06-28,269.290009,271.750000,268.489990,270.890015,254.899780,76650500
2018-06-29,272.119995,273.660004,271.149994,271.279999,255.266800,97592500
2018-07-02,269.510010,272.040009,269.239990,271.859985,255.812469,63554800
2018-07-03,272.869995,272.980011,270.420013,270.899994,254.909225,42187100
2018-07-05,272.170013,273.179993,270.959991,273.109985,256.988770,56925900
2018-07-06,273.140015,275.839996,272.709991,275.420013,259.162415,66493700
2018-07-09,276.549988,277.959991,276.500000,277.899994,261.496033,50550400
2018-07-10,278.410004,279.010010,278.079987,278.899994,262.436951,51966800
2018-07-11,277.149994,278.040009,276.519989,276.859985,260.517365,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,262.879242,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,263.086273,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,262.850952,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,263.914368,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,264.469482,44593500
